Country & Variable (Combined),Country,Region,M49,Variable,Variables,Unit,Unit,Symbol,Symbol Description,Symbol,2019
"Ecuador, Total population",Ecuador,South America,218,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,17373.66 
"Egypt, Total population",Egypt,Northern Africa,818,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,100388.07 
"El Salvador, Total population",El Salvador,Central America,222,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,6453.55 
"Equatorial Guinea, Total population",Equatorial Guinea,Middle Africa,226,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,1355.99 
"Eritrea, Total population",Eritrea,Eastern Africa,232,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,3497.12 
"Estonia, Total population",Estonia,Northern Europe,233,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,1325.65 
"Eswatini, Total population",Eswatini,Southern Africa,748,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,1148.13 
"Ethiopia, Total population",Ethiopia,Eastern Africa,231,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,112078.73 
"Faroe Islands, Total population",Faroe Islands,Northern Europe,234,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,48.68 
"Fiji, Total population",Fiji,Melanesia,242,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,889.95 
"Finland, Total population",Finland,Northern Europe,246,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,5532.16 
"France, Total population",France,Western Europe,250,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,65129.73 
"Gabon, Total population",Gabon,Middle Africa,266,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,2172.58 
"Gambia, Total population",Gambia,Western Africa,270,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,2347.71 
"Georgia, Total population",Georgia,Western Asia,268,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,3996.77 
"Germany, Total population",Germany,Western Europe,276,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,83517.05 
"Ghana, Total population",Ghana,Western Africa,288,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,30417.86 
"Greece, Total population",Greece,Southern Europe,300,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,10473.46 
"Grenada, Total population",Grenada,Caribbean,308,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,112.00 
"Guatemala, Total population",Guatemala,Central America,320,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,17581.47 
"Guinea, Total population",Guinea,Western Africa,324,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,12771.25 
"Guinea-Bissau, Total population",Guinea-Bissau,Western Africa,624,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,1920.92 
"Guyana, Total population",Guyana,South America,328,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,782.77 
"Haiti, Total population",Haiti,Caribbean,332,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,11263.08 
"Holy See, Total population",Holy See,Southern Europe,336,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,0.80 
"Honduras, Total population",Honduras,Central America,340,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,9746.12 
"Hungary, Total population",Hungary,Eastern Europe,348,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,9684.68 
"Iceland, Total population",Iceland,Northern Europe,352,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,339.03 
"India, Total population",India,Southern Asia,356,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,1366417.75 
"Indonesia, Total population",Indonesia,South-eastern Asia,360,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,270625.57 
"Iran (Islamic Republic of), Total population",Iran (Islamic Republic of),Southern Asia,364,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,82913.91 
"Iraq, Total population",Iraq,Western Asia,368,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,39309.78 
"Ireland, Total population",Ireland,Northern Europe,372,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,4882.50 
"Israel, Total population",Israel,Western Asia,376,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,8519.38 
"Italy, Total population",Italy,Southern Europe,380,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,60550.08 
"Jamaica, Total population",Jamaica,Caribbean,388,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,2948.28 
"Japan, Total population",Japan,Eastern Asia,392,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,126860.30 
"Jordan, Total population",Jordan,Western Asia,400,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,10101.69 
"Kazakhstan, Total population",Kazakhstan,Central Asia,398,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,18551.43 
"Kenya, Total population",Kenya,Eastern Africa,404,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,52573.97 
"Kiribati, Total population",Kiribati,Micronesia,296,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,117.61 
"Kuwait, Total population",Kuwait,Western Asia,414,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,4207.08 
"Kyrgyzstan, Total population",Kyrgyzstan,Central Asia,417,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,6415.85 
"Lao People's Democratic Republic, Total population",Lao People's Democratic Republic,South-eastern Asia,418,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,7169.46 
"Latvia, Total population",Latvia,Northern Europe,428,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,1906.74 
"Lebanon, Total population",Lebanon,Western Asia,422,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,6855.71 
"Lesotho, Total population",Lesotho,Southern Africa,426,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,2125.27 
"Liberia, Total population",Liberia,Western Africa,430,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,4937.37 
"Libya, Total population",Libya,Northern Africa,434,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,6777.45 
"Liechtenstein, Total population",Liechtenstein,Western Europe,438,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,38.02 
"Lithuania, Total population",Lithuania,Northern Europe,440,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,2759.63 
"Luxembourg, Total population",Luxembourg,Western Europe,442,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,615.73 
"Madagascar, Total population",Madagascar,Eastern Africa,450,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,26969.31 
"Malawi, Total population",Malawi,Eastern Africa,454,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,18628.75 
"Malaysia, Total population",Malaysia,South-eastern Asia,458,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,31949.78 
"Maldives, Total population",Maldives,Southern Asia,462,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,530.95 
"Mali, Total population",Mali,Western Africa,466,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,19658.03 
"Malta, Total population",Malta,Southern Europe,470,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,440.37 
"Marshall Islands, Total population",Marshall Islands,Micronesia,584,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,58.79 
"Mauritania, Total population",Mauritania,Western Africa,478,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,4525.70 
"Mauritius, Total population",Mauritius,Eastern Africa,480,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,1269.67 
"Mexico, Total population",Mexico,Central America,484,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,127575.53 
"Micronesia (Federated States of), Total population",Micronesia (Federated States of),Micronesia,583,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,113.82 
"Monaco, Total population",Monaco,Western Europe,492,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,38.96 
"Mongolia, Total population",Mongolia,Eastern Asia,496,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,3225.17 
"Montenegro, Total population",Montenegro,Southern Europe,499,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,627.99 
"Morocco, Total population",Morocco,Northern Africa,504,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,36471.77 
"Mozambique, Total population",Mozambique,Eastern Africa,508,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,30366.04 
"Myanmar, Total population",Myanmar,South-eastern Asia,104,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,54045.42 
"Namibia, Total population",Namibia,Southern Africa,516,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,2494.53 
"Nauru, Total population",Nauru,Micronesia,520,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,10.76 
"Nepal, Total population",Nepal,Southern Asia,524,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,28608.71 
"Netherlands, Total population",Netherlands,Western Europe,528,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,17097.13 
"New Zealand, Total population",New Zealand,Australia and New Zealand,554,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,4783.06 
"Nicaragua, Total population",Nicaragua,Central America,558,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,6545.50 
"Niger, Total population",Niger,Western Africa,562,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,23310.72 
"Nigeria, Total population",Nigeria,Western Africa,566,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,200963.60 
"Niue, Total population",Niue,Polynesia,570,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,1.62 
"North Macedonia, Total population",North Macedonia,Southern Europe,807,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,2083.46 
"Norway, Total population",Norway,Northern Europe,578,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,5378.86 
"Oman, Total population",Oman,Western Asia,512,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,4974.99 
"Pakistan, Total population",Pakistan,Southern Asia,586,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,216565.32 
"Palau, Total population",Palau,Micronesia,585,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,18.01 
"Palestine(1996-), Total population",Palestine(1996-),Western Asia,275,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,4981.42 
"Panama, Total population",Panama,Central America,591,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,4246.44 
"Papua New Guinea, Total population",Papua New Guinea,Melanesia,598,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,8776.11 
"Paraguay, Total population",Paraguay,South America,600,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,7044.64 
"Peru, Total population",Peru,South America,604,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,32510.45 
"Philippines, Total population",Philippines,South-eastern Asia,608,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,108116.62 
"Poland, Total population",Poland,Eastern Europe,616,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,37887.77 
"Portugal, Total population",Portugal,Southern Europe,620,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,10226.19 
"Puerto Rico, Total population",Puerto Rico,Caribbean,630,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,2933.41 
"Qatar, Total population",Qatar,Western Asia,634,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,2832.07 
"Republic of Korea, Total population",Republic of Korea,Eastern Asia,410,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,51225.31 
"Republic of Moldova, Total population",Republic of Moldova,Eastern Europe,498,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,4043.26 
"Romania, Total population",Romania,Eastern Europe,642,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,19364.56 
"Russian Federation, Total population",Russian Federation,Eastern Europe,643,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,145872.26 
"Rwanda, Total population",Rwanda,Eastern Africa,646,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,12626.95 
"Saint Kitts and Nevis, Total population",Saint Kitts and Nevis,Caribbean,659,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,52.82 
"Saint Lucia, Total population",Saint Lucia,Caribbean,662,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,182.79 
"Saint Vincent and the Grenadines, Total population",Saint Vincent and the Grenadines,Caribbean,670,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,110.59 
"Samoa, Total population",Samoa,Polynesia,882,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,197.10 
"San Marino, Total population",San Marino,Southern Europe,674,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,33.86 
