Country & Variable (Combined),Country,Region,M49,Variable,Variables,Unit,Unit,Symbol,Symbol Description,Symbol,2019
"Belgium, GDP per capita",Belgium,Western Europe,56,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,47225.76 
"Belize, GDP per capita",Belize,Central America,84,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,4892.75 
"Benin, GDP per capita",Benin,Western Africa,204,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,906.49 
"Bhutan, GDP per capita",Bhutan,Southern Asia,64,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3253.53 
"Bolivia (Plurinational State of), GDP per capita",Bolivia (Plurinational State of),South America,68,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3592.08 
"Bosnia and Herzegovina, GDP per capita",Bosnia and Herzegovina,Southern Europe,70,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,5646.25 
"Botswana, GDP per capita",Botswana,Southern Africa,72,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,7978.14 
"Brazil, GDP per capita",Brazil,South America,76,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,8861.53 
"Brunei Darussalam, GDP per capita",Brunei Darussalam,South-eastern Asia,96,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,31254.69 
"Bulgaria, GDP per capita",Bulgaria,Eastern Europe,100,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,9407.50 
"Burkina Faso, GDP per capita",Burkina Faso,Western Africa,854,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,820.17 
"Burundi, GDP per capita",Burundi,Eastern Africa,108,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,292.89 
"Cabo Verde, GDP per capita",Cabo Verde,Western Africa,132,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3572.55 
"Cambodia, GDP per capita",Cambodia,South-eastern Asia,116,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1512.51 
"Cameroon, GDP per capita",Cameroon,Middle Africa,120,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1567.95 
"Canada, GDP per capita",Canada,Northern America,124,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,46343.37 
"Central African Republic, GDP per capita",Central African Republic,Middle Africa,140,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,473.50 
"Chad, GDP per capita",Chad,Middle Africa,148,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,741.70 
"Chile, GDP per capita",Chile,South America,152,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,16388.84 
"China, GDP per capita",China,Eastern Asia,156,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,9855.46 
"Colombia, GDP per capita",Colombia,South America,170,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,6676.03 
"Comoros, GDP per capita",Comoros,Eastern Africa,174,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1400.49 
"Congo, GDP per capita",Congo,Middle Africa,178,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,2624.72 
"Cook Islands, GDP per capita",Cook Islands,Polynesia,184,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,20832.46 
"Costa Rica, GDP per capita",Costa Rica,Central America,188,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,12138.82 
"Côte d'Ivoire, GDP per capita",Côte d'Ivoire,Western Africa,384,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1727.63 
"Croatia, GDP per capita",Croatia,Southern Europe,191,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,14644.50 
"Cuba, GDP per capita",Cuba,Caribbean,192,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,8705.92 
"Cyprus, GDP per capita",Cyprus,Western Asia,196,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,28956.96 
"Czechia, GDP per capita",Czechia,Eastern Europe,203,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,23079.54 
"Democratic People's Republic of Korea, GDP per capita",Democratic People's Republic of Korea,Eastern Asia,408,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,686.21 
"Democratic Republic of the Congo, GDP per capita",Democratic Republic of the Congo,Middle Africa,180,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,561.23 
"Denmark, GDP per capita",Denmark,Northern Europe,208,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,61809.75 
"Djibouti, GDP per capita",Djibouti,Eastern Africa,262,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3009.41 
"Dominica, GDP per capita",Dominica,Caribbean,212,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,7413.64 
"Dominican Republic, GDP per capita",Dominican Republic,Caribbean,214,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,7470.24 
"Ecuador, GDP per capita",Ecuador,South America,218,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,6428.00 
"Egypt, GDP per capita",Egypt,Northern Africa,818,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,2513.20 
"El Salvador, GDP per capita",El Salvador,Central America,222,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,4064.06 
"Equatorial Guinea, GDP per capita",Equatorial Guinea,Middle Africa,226,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,10141.12 
"Eritrea, GDP per capita",Eritrea,Eastern Africa,232,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1321.38 
"Estonia, GDP per capita",Estonia,Northern Europe,233,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,23528.80 
"Eswatini, GDP per capita",Eswatini,Southern Africa,748,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3385.57 
"Ethiopia, GDP per capita",Ethiopia,Eastern Africa,231,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,746.66 
"Fiji, GDP per capita",Fiji,Melanesia,242,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,6069.46 
"Finland, GDP per capita",Finland,Northern Europe,246,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,49955.34 
"France, GDP per capita",France,Western Europe,250,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,41168.65 
"Gabon, GDP per capita",Gabon,Middle Africa,266,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,8219.38 
"Gambia, GDP per capita",Gambia,Western Africa,270,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,754.62 
"Georgia, GDP per capita",Georgia,Western Asia,268,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,4504.48 
"Germany, GDP per capita",Germany,Western Europe,276,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,47993.47 
"Ghana, GDP per capita",Ghana,Western Africa,288,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,2224.26 
"Greece, GDP per capita",Greece,Southern Europe,300,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,19577.78 
"Grenada, GDP per capita",Grenada,Caribbean,308,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,10787.40 
"Guatemala, GDP per capita",Guatemala,Central America,320,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,4549.68 
"Guinea, GDP per capita",Guinea,Western Africa,324,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,891.75 
"Guinea-Bissau, GDP per capita",Guinea-Bissau,Western Africa,624,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,764.90 
"Guyana, GDP per capita",Guyana,South America,328,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,4880.59 
"Haiti, GDP per capita",Haiti,Caribbean,332,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,835.72 
"Honduras, GDP per capita",Honduras,Central America,340,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,2545.34 
"Hungary, GDP per capita",Hungary,Eastern Europe,348,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,16295.33 
"Iceland, GDP per capita",Iceland,Northern Europe,352,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,76624.49 
"India, GDP per capita",India,Southern Asia,356,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,2052.62 
"Indonesia, GDP per capita",Indonesia,South-eastern Asia,360,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3906.27 
"Iran (Islamic Republic of), GDP per capita",Iran (Islamic Republic of),Southern Asia,364,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,5768.58 
"Iraq, GDP per capita",Iraq,Western Asia,368,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,5395.86 
"Ireland, GDP per capita",Ireland,Northern Europe,372,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,79661.62 
"Israel, GDP per capita",Israel,Western Asia,376,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,43841.83 
"Italy, GDP per capita",Italy,Southern Europe,380,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,35163.57 
"Jamaica, GDP per capita",Jamaica,Caribbean,388,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,5421.06 
"Japan, GDP per capita",Japan,Eastern Asia,392,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,39087.24 
"Jordan, GDP per capita",Jordan,Western Asia,400,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,4264.12 
"Kazakhstan, GDP per capita",Kazakhstan,Central Asia,398,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,9744.69 
"Kenya, GDP per capita",Kenya,Eastern Africa,404,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1725.30 
"Kiribati, GDP per capita",Kiribati,Micronesia,296,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1592.08 
"Kuwait, GDP per capita",Kuwait,Western Asia,414,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,33760.74 
"Kyrgyzstan, GDP per capita",Kyrgyzstan,Central Asia,417,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1319.57 
"Lao People's Democratic Republic, GDP per capita",Lao People's Democratic Republic,South-eastern Asia,418,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,2579.12 
"Latvia, GDP per capita",Latvia,Northern Europe,428,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,17837.90 
"Lebanon, GDP per capita",Lebanon,Western Asia,422,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,9257.30 
"Lesotho, GDP per capita",Lesotho,Southern Africa,426,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1162.72 
"Liberia, GDP per capita",Liberia,Western Africa,430,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,437.12 
"Libya, GDP per capita",Libya,Northern Africa,434,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,5312.47 
"Liechtenstein, GDP per capita",Liechtenstein,Western Europe,438,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,178107.20 
"Lithuania, GDP per capita",Lithuania,Northern Europe,440,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,18583.57 
"Luxembourg, GDP per capita",Luxembourg,Western Europe,442,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,120137.96 
"Madagascar, GDP per capita",Madagascar,Eastern Africa,450,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,527.39 
"Malawi, GDP per capita",Malawi,Eastern Africa,454,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,375.49 
"Malaysia, GDP per capita",Malaysia,South-eastern Asia,458,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,11190.75 
"Maldives, GDP per capita",Maldives,Southern Asia,462,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,11991.75 
"Mali, GDP per capita",Mali,Western Africa,466,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,898.69 
"Malta, GDP per capita",Malta,Southern Europe,470,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,33671.59 
"Marshall Islands, GDP per capita",Marshall Islands,Micronesia,584,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,4028.71 
"Mauritania, GDP per capita",Mauritania,Western Africa,478,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1678.32 
"Mauritius, GDP per capita",Mauritius,Eastern Africa,480,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,11211.98 
"Mexico, GDP per capita",Mexico,Central America,484,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,9356.15 
"Micronesia (Federated States of), GDP per capita",Micronesia (Federated States of),Micronesia,583,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3495.37 
"Monaco, GDP per capita",Monaco,Western Europe,492,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,184807.83 
"Mongolia, GDP per capita",Mongolia,Eastern Asia,496,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,4167.37 
"Montenegro, GDP per capita",Montenegro,Southern Europe,499,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,8752.03 
"Morocco, GDP per capita",Morocco,Northern Africa,504,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3258.23 
"Mozambique, GDP per capita",Mozambique,Eastern Africa,508,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,482.06 
"Myanmar, GDP per capita",Myanmar,South-eastern Asia,104,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1350.74 
"Namibia, GDP per capita",Namibia,Southern Africa,516,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,5610.40 
"Nauru, GDP per capita",Nauru,Micronesia,520,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,11201.86 
"Nepal, GDP per capita",Nepal,Southern Asia,524,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,939.45 
"Netherlands, GDP per capita",Netherlands,Western Europe,528,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,53505.05 
"New Zealand, GDP per capita",New Zealand,Australia and New Zealand,554,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,43776.47 
"Nicaragua, GDP per capita",Nicaragua,Central America,558,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,2087.25 
"Niger, GDP per capita",Niger,Western Africa,562,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,574.64 
"Nigeria, GDP per capita",Nigeria,Western Africa,566,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,2153.52 
"North Macedonia, GDP per capita",North Macedonia,Southern Europe,807,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,6056.86 
