Country & Variable (Combined),Country,Region,M49,Variable,Variables,Unit,Unit,Symbol,Symbol Description,Symbol,2019
"Somalia, Total dam capacity",Somalia,Eastern Africa,706,Total dam capacity (km3),Total dam capacity,(km3),(km3),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0
"South Africa, Total dam capacity",South Africa,Southern Africa,710,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,31.02
"Spain, Total dam capacity",Spain,Southern Europe,724,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,53.81
"Sri Lanka, Total dam capacity",Sri Lanka,Southern Asia,144,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,5.94
"Sudan, Total dam capacity",Sudan,Northern Africa,729,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,21.23
"Suriname, Total dam capacity",Suriname,South America,740,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,20
"Sweden, Total dam capacity",Sweden,Northern Europe,752,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,35.96
"Switzerland, Total dam capacity",Switzerland,Western Europe,756,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,3.34
"Syrian Arab Republic, Total dam capacity",Syrian Arab Republic,Western Asia,760,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,19.65
"Tajikistan, Total dam capacity",Tajikistan,Central Asia,762,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,29.51
"Thailand, Total dam capacity",Thailand,South-eastern Asia,764,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,79.23
"Togo, Total dam capacity",Togo,Western Africa,768,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.72
"Trinidad and Tobago, Total dam capacity",Trinidad and Tobago,Caribbean,780,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.07
"Tunisia, Total dam capacity",Tunisia,Northern Africa,788,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,2.69
"Türkiye, Total dam capacity",Türkiye,Western Asia,792,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,157.83
"Turkmenistan, Total dam capacity",Turkmenistan,Central Asia,795,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,5.59
"Uganda, Total dam capacity",Uganda,Eastern Africa,800,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,80
"Ukraine, Total dam capacity",Ukraine,Eastern Europe,804,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,55.4
"United Arab Emirates, Total dam capacity",United Arab Emirates,Western Asia,784,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.06
"United Kingdom, Total dam capacity",United Kingdom,Northern Europe,826,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,5.27
"United Republic of Tanzania, Total dam capacity",United Republic of Tanzania,Eastern Africa,834,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,104.2
"United States of America, Total dam capacity",United States of America,Northern America,840,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,735.87
"Uruguay, Total dam capacity",Uruguay,South America,858,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,17.15
"Uzbekistan, Total dam capacity",Uzbekistan,Central Asia,860,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,22.01
"Venezuela (Bolivarian Republic of), Total dam capacity",Venezuela (Bolivarian Republic of),South America,862,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,157.63
"Viet Nam, Total dam capacity",Viet Nam,South-eastern Asia,704,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,44.72
"Yemen, Total dam capacity",Yemen,Western Asia,887,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.46
"Zambia, Total dam capacity",Zambia,Eastern Africa,894,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,101.13
"Zimbabwe, Total dam capacity",Zimbabwe,Eastern Africa,716,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,99.93
