Country & Variable (Combined),Country,Region,M49,Variable,Variables,Unit,Unit,Symbol,Symbol Description,Symbol,2019
"Algeria, Total population",Algeria,Northern Africa,12,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"43,053.05"
"Algeria, Total renewable water resources",Algeria,Northern Africa,12,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,11.67
"Algeria, Total water withdrawal",Algeria,Northern Africa,12,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,10.46
"Andorra, GDP per capita",Andorra,Southern Europe,20,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"42,080.56"
"Andorra, Total population",Andorra,Southern Europe,20,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,77.14
"Andorra, Total renewable water resources",Andorra,Southern Europe,20,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.32
"Angola, GDP per capita",Angola,Middle Africa,24,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"3,441.27"
"Angola, Total dam capacity",Angola,Middle Africa,24,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,9.45
"Angola, Total population",Angola,Middle Africa,24,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"31,825.30"
"Angola, Total renewable water resources",Angola,Middle Africa,24,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,148.4
"Angola, Total water withdrawal",Angola,Middle Africa,24,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.71
"Antigua and Barbuda, GDP per capita",Antigua and Barbuda,Caribbean,28,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"15,629.05"
"Antigua and Barbuda, Total dam capacity",Antigua and Barbuda,Caribbean,28,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.01
"Antigua and Barbuda, Total population",Antigua and Barbuda,Caribbean,28,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,97.12
"Antigua and Barbuda, Total renewable water resources",Antigua and Barbuda,Caribbean,28,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,0.05
"Antigua and Barbuda, Total water withdrawal",Antigua and Barbuda,Caribbean,28,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.01
"Argentina, GDP per capita",Argentina,South America,32,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"11,601.89"
"Argentina, Total dam capacity",Argentina,South America,32,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,131.56
"Argentina, Total population",Argentina,South America,32,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"44,780.68"
"Argentina, Total renewable water resources",Argentina,South America,32,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,876.24
"Argentina, Total water withdrawal",Argentina,South America,32,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,37.78
"Armenia, GDP per capita",Armenia,Western Asia,51,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"4,237.39"
"Armenia, Total dam capacity",Armenia,Western Asia,51,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.39
"Armenia, Total population",Armenia,Western Asia,51,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"2,957.73"
"Armenia, Total renewable water resources",Armenia,Western Asia,51,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,7.77
"Armenia, Total water withdrawal",Armenia,Western Asia,51,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,2.87
"Australia, GDP per capita",Australia,Australia and New Zealand,36,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"58,689.49"
"Australia, Total dam capacity",Australia,Australia and New Zealand,36,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,77.79
"Australia, Total population",Australia,Australia and New Zealand,36,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"25,203.20"
"Australia, Total renewable water resources",Australia,Australia and New Zealand,36,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,492
"Australia, Total water withdrawal",Australia,Australia and New Zealand,36,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,14.98
"Austria, GDP per capita",Austria,Western Europe,40,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"52,047.26"
"Austria, Total dam capacity",Austria,Western Europe,40,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,2.13
"Austria, Total population",Austria,Western Europe,40,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"8,955.10"
"Austria, Total renewable water resources",Austria,Western Europe,40,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,77.7
"Austria, Total water withdrawal",Austria,Western Europe,40,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,3.49
"Azerbaijan, GDP per capita",Azerbaijan,Western Asia,31,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"4,729.90"
"Azerbaijan, Total dam capacity",Azerbaijan,Western Asia,31,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,21.54
"Azerbaijan, Total population",Azerbaijan,Western Asia,31,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"10,047.72"
"Azerbaijan, Total renewable water resources",Azerbaijan,Western Asia,31,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,34.68
"Azerbaijan, Total water withdrawal",Azerbaijan,Western Asia,31,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,12.59
"Bahamas, GDP per capita",Bahamas,Caribbean,44,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"31,116.87"
"Bahamas, Total population",Bahamas,Caribbean,44,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,389.48
"Bahamas, Total renewable water resources",Bahamas,Caribbean,44,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.7
"Bahrain, GDP per capita",Bahrain,Western Asia,48,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"24,171.33"
"Bahrain, Total dam capacity",Bahrain,Western Asia,48,Total dam capacity (km3),Total dam capacity,(km3),(km3),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0
"Bahrain, Total population",Bahrain,Western Asia,48,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"1,641.17"
"Bahrain, Total renewable water resources",Bahrain,Western Asia,48,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.12
"Bahrain, Total water withdrawal",Bahrain,Western Asia,48,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.43
"Bangladesh, GDP per capita",Bangladesh,Southern Asia,50,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"1,620.67"
"Bangladesh, Total dam capacity",Bangladesh,Southern Asia,50,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,6.48
"Bangladesh, Total population",Bangladesh,Southern Asia,50,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"163,046.16"
"Bangladesh, Total renewable water resources",Bangladesh,Southern Asia,50,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"1,227.03"
"Bangladesh, Total water withdrawal",Bangladesh,Southern Asia,50,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,35.87
"Barbados, GDP per capita",Barbados,Caribbean,52,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"17,761.54"
"Barbados, Total population",Barbados,Caribbean,52,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,287.03
"Barbados, Total renewable water resources",Barbados,Caribbean,52,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.08
"Barbados, Total water withdrawal",Barbados,Caribbean,52,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.08
"Belarus, GDP per capita",Belarus,Eastern Europe,112,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"6,312.05"
"Belarus, Total dam capacity",Belarus,Eastern Europe,112,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,3.1
"Belarus, Total population",Belarus,Eastern Europe,112,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"9,452.41"
"Belarus, Total renewable water resources",Belarus,Eastern Europe,112,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,57.9
"Belarus, Total water withdrawal",Belarus,Eastern Europe,112,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,1.36
"Belgium, GDP per capita",Belgium,Western Europe,56,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"47,225.76"
"Belgium, Total dam capacity",Belgium,Western Europe,56,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.14
"Belgium, Total population",Belgium,Western Europe,56,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"11,539.33"
"Belgium, Total renewable water resources",Belgium,Western Europe,56,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,18.3
"Belgium, Total water withdrawal",Belgium,Western Europe,56,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,4.26
"Belize, GDP per capita",Belize,Central America,84,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"4,892.75"
"Belize, Total dam capacity",Belize,Central America,84,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.12
"Belize, Total population",Belize,Central America,84,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,390.35
"Belize, Total renewable water resources",Belize,Central America,84,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,21.73
"Belize, Total water withdrawal",Belize,Central America,84,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.1
"Benin, GDP per capita",Benin,Western Africa,204,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,906.49
"Benin, Total dam capacity",Benin,Western Africa,204,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.02
"Benin, Total population",Benin,Western Africa,204,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"11,801.15"
"Benin, Total renewable water resources",Benin,Western Africa,204,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,26.39
"Benin, Total water withdrawal",Benin,Western Africa,204,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.23
"Bhutan, GDP per capita",Bhutan,Southern Asia,64,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"3,253.53"
"Bhutan, Total dam capacity",Bhutan,Southern Asia,64,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0
"Bhutan, Total population",Bhutan,Southern Asia,64,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,763.09
"Bhutan, Total renewable water resources",Bhutan,Southern Asia,64,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,78
"Bhutan, Total water withdrawal",Bhutan,Southern Asia,64,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.34
"Bolivia (Plurinational State of), GDP per capita",Bolivia (Plurinational State of),South America,68,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"3,592.08"
"Bolivia (Plurinational State of), Total dam capacity",Bolivia (Plurinational State of),South America,68,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.6
"Bolivia (Plurinational State of), Total population",Bolivia (Plurinational State of),South America,68,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"11,513.10"
"Bolivia (Plurinational State of), Total renewable water resources",Bolivia (Plurinational State of),South America,68,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,574
"Bolivia (Plurinational State of), Total water withdrawal",Bolivia (Plurinational State of),South America,68,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,2.09
"Bosnia and Herzegovina, GDP per capita",Bosnia and Herzegovina,Southern Europe,70,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"5,646.25"
"Bosnia and Herzegovina, Total dam capacity",Bosnia and Herzegovina,Southern Europe,70,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,2.91
"Bosnia and Herzegovina, Total population",Bosnia and Herzegovina,Southern Europe,70,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"3,301.00"
"Bosnia and Herzegovina, Total renewable water resources",Bosnia and Herzegovina,Southern Europe,70,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,37.5
"Botswana, GDP per capita",Botswana,Southern Africa,72,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"7,978.14"
"Botswana, Total dam capacity",Botswana,Southern Africa,72,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.11
"Botswana, Total population",Botswana,Southern Africa,72,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"2,303.70"
"Botswana, Total renewable water resources",Botswana,Southern Africa,72,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,12.24
"Botswana, Total water withdrawal",Botswana,Southern Africa,72,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,0.2
"Brazil, GDP per capita",Brazil,South America,76,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"8,861.53"
"Brazil, Total dam capacity",Brazil,South America,76,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,700.44
"Brazil, Total population",Brazil,South America,76,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"211,049.53"
"Brazil, Total renewable water resources",Brazil,South America,76,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"8,647.00"
"Brazil, Total water withdrawal",Brazil,South America,76,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,70.43
"Brunei Darussalam, GDP per capita",Brunei Darussalam,South-eastern Asia,96,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"31,254.69"
"Brunei Darussalam, Total dam capacity",Brunei Darussalam,South-eastern Asia,96,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.05
"Brunei Darussalam, Total population",Brunei Darussalam,South-eastern Asia,96,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,433.29
"Brunei Darussalam, Total renewable water resources",Brunei Darussalam,South-eastern Asia,96,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,8.5
"Brunei Darussalam, Total water withdrawal",Brunei Darussalam,South-eastern Asia,96,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.09
"Bulgaria, GDP per capita",Bulgaria,Eastern Europe,100,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"9,407.50"
"Bulgaria, Total dam capacity",Bulgaria,Eastern Europe,100,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,6.52
"Bulgaria, Total population",Bulgaria,Eastern Europe,100,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"7,000.12"
"Bulgaria, Total renewable water resources",Bulgaria,Eastern Europe,100,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,21.3
"Bulgaria, Total water withdrawal",Bulgaria,Eastern Europe,100,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,5.42
"Burkina Faso, GDP per capita",Burkina Faso,Western Africa,854,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,820.17
"Burkina Faso, Total dam capacity",Burkina Faso,Western Africa,854,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,5.34
"Burkina Faso, Total population",Burkina Faso,Western Africa,854,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"20,321.38"
